,intended vote,education,age
678,stay,4.0,75
679,stay,5.0,57
680,leave,4.0,67
681,leave,3.0,50
682,leave,4.0,55
683,leave,,62
684,stay,4.0,58
685,stay,3.0,57
686,stay,4.0,64
687,leave,4.0,60
688,stay,5.0,61
689,stay,3.0,77
690,stay,5.0,69
691,stay,3.0,63
692,leave,3.0,66
693,stay,4.0,54
694,stay,5.0,56
695,leave,5.0,53
696,leave,4.0,44
697,stay,4.0,50
698,stay,4.0,60
699,stay,5.0,54
700,stay,4.0,58
701,leave,3.0,39
702,leave,4.0,45
703,leave,2.0,54
704,leave,4.0,61
705,leave,4.0,46
706,stay,4.0,69
707,stay,5.0,58
708,stay,5.0,62
709,leave,4.0,46
710,leave,4.0,50
711,stay,4.0,40
712,stay,4.0,65
713,stay,5.0,42
714,stay,5.0,67
715,stay,4.0,60
716,don't know,3.0,57
717,don't know,4.0,55
718,leave,3.0,57
719,leave,5.0,41
720,stay,4.0,45
721,stay,5.0,63
722,stay,,59
723,leave,,54
724,leave,3.0,58
725,stay,4.0,58
726,stay,4.0,57
727,stay,5.0,66
728,stay,4.0,61
729,stay,,72
730,stay,4.0,64
731,stay,4.0,75
732,leave,3.0,68
733,stay,4.0,75
734,leave,2.0,59
735,stay,5.0,71
736,leave,3.0,60
737,stay,2.0,53
738,leave,2.0,65
739,stay,5.0,45
740,stay,3.0,73
741,leave,4.0,70
742,don't know,1.0,62
743,stay,3.0,72
744,stay,5.0,47
745,leave,1.0,74
746,leave,5.0,60
747,leave,4.0,71
748,leave,3.0,39
749,leave,5.0,64
750,stay,4.0,56
751,leave,4.0,56
752,stay,4.0,67
753,leave,3.0,71
754,stay,4.0,34
755,leave,3.0,79
756,stay,,74
757,leave,1.0,63
758,leave,,79
759,leave,3.0,74
760,stay,2.0,77
761,leave,2.0,81
762,leave,4.0,69
763,leave,4.0,83
764,leave,5.0,67
765,leave,3.0,86
766,leave,2.0,69
767,leave,4.0,51
768,leave,5.0,53
769,stay,4.0,44
770,stay,4.0,71
771,leave,1.0,31
772,stay,5.0,57
773,stay,4.0,62
774,stay,5.0,46
775,stay,4.0,67
776,leave,3.0,46
777,stay,5.0,35
778,leave,4.0,71
779,leave,5.0,69
780,stay,4.0,64
781,stay,5.0,73
782,leave,2.0,53
783,leave,4.0,59
784,don't know,3.0,59
785,stay,4.0,51
786,leave,2.0,42
787,stay,4.0,65
788,stay,2.0,68
789,leave,2.0,73
790,stay,4.0,39
791,leave,3.0,68
792,stay,4.0,59
793,stay,4.0,53
794,leave,3.0,71
795,stay,4.0,56
796,stay,2.0,52
797,leave,4.0,65
798,stay,4.0,32
799,leave,4.0,65
800,stay,4.0,61
801,leave,3.0,60
802,stay,3.0,46
803,stay,4.0,56
804,stay,4.0,58
805,leave,2.0,67
806,leave,4.0,83
807,leave,2.0,77
808,stay,4.0,86
809,leave,4.0,52
810,leave,4.0,72
811,stay,,70
812,stay,,61
813,leave,5.0,48
814,stay,5.0,32
815,don't know,5.0,37
816,leave,2.0,64
817,leave,4.0,72
818,leave,4.0,77
819,leave,4.0,56
820,leave,3.0,67
821,leave,,79
822,leave,4.0,58
823,leave,1.0,71
824,stay,5.0,44
825,stay,5.0,65
826,leave,5.0,36
827,leave,2.0,58
828,stay,4.0,59
829,stay,5.0,68
830,leave,4.0,66
831,stay,3.0,52
832,stay,2.0,64
833,leave,2.0,76
834,leave,4.0,70
835,stay,4.0,57
836,leave,4.0,67
837,stay,1.0,68
838,leave,4.0,55
839,leave,3.0,53
840,leave,5.0,76
841,stay,5.0,68
842,stay,4.0,47
843,leave,2.0,51
844,leave,4.0,79
845,leave,,61
846,stay,2.0,65
847,stay,4.0,60
848,stay,4.0,44
849,stay,2.0,58
850,leave,4.0,56
851,leave,3.0,73
852,stay,4.0,43
853,stay,5.0,76
854,leave,4.0,60
855,stay,3.0,58
856,leave,4.0,57
857,stay,5.0,67
858,leave,2.0,77
859,leave,4.0,84
860,leave,4.0,34
861,leave,4.0,58
862,leave,4.0,56
863,stay,3.0,74
864,stay,2.0,70
865,stay,4.0,62
866,leave,4.0,58
867,don't know,2.0,51
868,stay,4.0,62
869,leave,,58
870,leave,3.0,69
871,leave,4.0,66
872,leave,3.0,57
873,stay,5.0,49
874,leave,1.0,73
875,leave,4.0,71
876,leave,,77
877,leave,4.0,63
878,leave,2.0,77
879,stay,3.0,66
880,stay,3.0,65
881,leave,2.0,68
882,stay,3.0,58
883,leave,3.0,64
884,leave,,54
885,leave,1.0,78
886,leave,,72
887,stay,,70
888,leave,2.0,50
889,leave,2.0,58
890,don't know,2.0,56
891,stay,4.0,72
892,leave,3.0,71
893,leave,1.0,70
894,stay,4.0,67
895,leave,1.0,70
896,don't know,3.0,78
897,leave,4.0,68
898,leave,2.0,60
899,don't know,,69
900,stay,1.0,60
901,stay,4.0,35
902,leave,4.0,68
903,stay,5.0,66
904,leave,4.0,70
905,stay,5.0,68
906,leave,4.0,75
907,stay,2.0,68
908,stay,5.0,43
909,stay,4.0,61
910,leave,1.0,64
911,leave,4.0,69
912,leave,4.0,65
913,stay,4.0,71
914,stay,4.0,84
915,stay,5.0,62
916,stay,4.0,56
917,leave,3.0,63
918,leave,,58
919,leave,4.0,37
920,stay,4.0,48
921,don't know,,51
922,stay,,43
923,leave,,65
924,stay,4.0,35
925,stay,5.0,55
926,leave,3.0,71
927,leave,2.0,63
928,leave,2.0,72
929,leave,4.0,52
930,leave,4.0,74
931,stay,4.0,39
932,leave,5.0,32
933,stay,3.0,61
934,stay,3.0,50
935,stay,3.0,64
936,stay,4.0,81
937,leave,2.0,74
938,stay,3.0,53
939,stay,5.0,43
940,leave,1.0,73
941,leave,4.0,69
942,leave,3.0,46
943,stay,4.0,71
944,leave,3.0,74
945,leave,2.0,65
946,stay,5.0,42
947,leave,4.0,77
948,stay,4.0,37
949,don't know,4.0,32
950,leave,4.0,32
951,leave,2.0,79
952,stay,4.0,63
953,don't know,3.0,63
954,stay,5.0,78
955,leave,1.0,64
956,leave,4.0,69
957,leave,4.0,58
958,leave,2.0,77
959,leave,4.0,53
960,leave,4.0,54
961,stay,5.0,87
962,stay,5.0,73
963,stay,4.0,57
964,stay,4.0,73
965,leave,2.0,66
966,stay,2.0,71
967,stay,5.0,43
968,stay,4.0,43
969,stay,5.0,32
970,leave,1.0,81
971,don't know,,53
972,stay,4.0,53
973,leave,3.0,55
974,stay,3.0,56
975,leave,2.0,71
976,stay,3.0,61
977,stay,5.0,58
978,stay,4.0,50
979,stay,5.0,60
980,stay,3.0,55
981,leave,2.0,79
982,stay,5.0,36
983,leave,2.0,70
984,leave,3.0,61
985,leave,,50
986,stay,5.0,69
987,leave,2.0,80
988,leave,,66
989,stay,2.0,66
990,leave,2.0,58
991,leave,3.0,70
992,stay,5.0,79
993,leave,2.0,57
994,don't know,4.0,57
995,stay,4.0,69
996,stay,3.0,64
